status,sheetId,entityId,targetId,displayName,sourceRepositoryPath,outputRepositoryPath,x,y,width,height,message
generated,"pilot-sheet-001","PILOT-7F08D82863DA","darkcurse","""Dark Curse""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0007b1a704707540.png","assets/generated/PilotBaseToken/galacticempire/tiefighter/darkcurse__pilot-7f08d82863da.png",32,42,456,510,
generated,"pilot-sheet-002","PILOT-7274E5F48E24","sienarspecialist","Sienar Specialist","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__028ca35d37b338dc.png","assets/generated/PilotBaseToken/galacticempire/tieaggressor/sienarspecialist__pilot-7274e5f48e24.png",14,15,252,286,
generated,"pilot-sheet-003","PILOT-E89CD27DF359","tychocelchu","Tycho Celchu","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__029a55df7aa12763.jpg","assets/generated/PilotBaseToken/rebelalliance/awing/tychocelchu__pilot-e89cd27df359.png",472,416,451,510,
generated,"pilot-sheet-004","PILOT-386EE2761A70","ig88a","IG-88A","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__02e20fbebf2cc778.jpg","assets/generated/PilotBaseToken/scumandvillainy/aggressor/ig88a__pilot-386ee2761a70.png",41,37,927,966,
generated,"pilot-sheet-005","PILOT-D90034F6DCC7","roarkgarnet","Roark Garnet","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__055f87ae1f2bccdf.jpg","assets/generated/PilotBaseToken/rebelalliance/hwk290/roarkgarnet__pilot-d90034f6dcc7.png",25,35,450,505,
generated,"pilot-sheet-006","PILOT-3E3851496A42","torkilmux","Torkil Mux","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__062ebd85ad782fed.jpg","assets/generated/PilotBaseToken/scumandvillainy/hwk290/torkilmux__pilot-3e3851496a42.png",25,35,450,505,
generated,"pilot-sheet-007","PILOT-EB50363AACFE","dashrendar","Dash Rendar","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__07b611202808b32f.jpg","assets/generated/PilotBaseToken/rebelalliance/yt2400/dashrendar__pilot-eb50363aacfe.png",41,37,924,965,
generated,"pilot-sheet-008","PILOT-FCE29317C456","echo","""Echo""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0d8c2cd2b70ca7d6.jpg","assets/generated/PilotBaseToken/galacticempire/tiephantom/echo__pilot-fce29317c456.png",26,34,445,501,
generated,"pilot-sheet-009","PILOT-22931F77E0C5","ig88b","IG-88B","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0e078b693215dcd2.jpg","assets/generated/PilotBaseToken/scumandvillainy/aggressor/ig88b__pilot-22931f77e0c5.png",41,37,927,966,
generated,"pilot-sheet-010","PILOT-65F6F265F16D","norrawexley","Norra Wexley","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__116b5f5103b89cc7.jpg","assets/generated/PilotBaseToken/rebelalliance/arc170/norrawexley__pilot-65f6f265f16d.png",25,35,445,514,
generated,"pilot-sheet-011","PILOT-F288E7D5E0D6","patrolleader","Patrol Leader","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__12292d3a084cbe3c.jpg","assets/generated/PilotBaseToken/galacticempire/vt49decimator/patrolleader__pilot-f288e7d5e0d6.png",43,39,924,977,
generated,"pilot-sheet-012","PILOT-9380AE7D1934","deathrain","""Deathrain""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1786b38448ff15bc.jpg","assets/generated/PilotBaseToken/galacticempire/tiepunisher/deathrain__pilot-9380ae7d1934.png",24,73,452,506,
generated,"pilot-sheet-013","PILOT-5BCFC38B51FB","duchess","""Duchess""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__188553706626c179.png","assets/generated/PilotBaseToken/galacticempire/tiestriker/duchess__pilot-5bcfc38b51fb.png",11,16,226,254,
generated,"pilot-sheet-014","PILOT-0E6BC4A34F91","wampa","""Wampa""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__18bbda2defef0191.png","assets/generated/PilotBaseToken/galacticempire/tiefighter/wampa__pilot-0e6bc4a34f91.png",32,42,456,510,
generated,"pilot-sheet-015","PILOT-29C434698216","doubleedge","""Double Edge""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__18f0fc42531efb0d.png","assets/generated/PilotBaseToken/galacticempire/tieaggressor/doubleedge__pilot-29c434698216.png",14,15,252,286,
generated,"pilot-sheet-016","PILOT-24EED7FB9599","ap5","AP-5","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1ce28bfa8588d1c0.jpg","assets/generated/PilotBaseToken/rebelalliance/sheathipedeclassshuttle/ap5__pilot-24eed7fb9599.png",995,0,433,515,
generated,"pilot-sheet-017","PILOT-E69C40F49478","whisper","""Whisper""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1ea8b35fc299dd61.jpg","assets/generated/PilotBaseToken/galacticempire/tiephantom/whisper__pilot-e69c40f49478.png",26,34,445,501,
generated,"pilot-sheet-018","PILOT-11EA529AE573","hortonsalm","Horton Salm","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1fc394576a49cbf6.jpg","assets/generated/PilotBaseToken/rebelalliance/ywing/hortonsalm__pilot-11ea529ae573.png",24,35,450,508,
generated,"pilot-sheet-019","PILOT-65747E26907E","baronoftheempire","Baron of the Empire","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__222fd202161556fa.jpg","assets/generated/PilotBaseToken/galacticempire/tieadvprototype/baronoftheempire__pilot-65747e26907e.png",23,31,455,508,
generated,"pilot-sheet-020","PILOT-C43BAE681F2F","rexlerbrath","Rexler Brath","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__234090aa2d6c6f2f.jpg","assets/generated/PilotBaseToken/galacticempire/tiedefender/rexlerbrath__pilot-c43bae681f2f.png",25,35,448,504,
generated,"pilot-sheet-021","PILOT-AD0AF9F4FADA","sarcoplank","Sarco Plank","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__26c202af3d983f80.png","assets/generated/PilotBaseToken/scumandvillainy/quadjumper/sarcoplank__pilot-ad0af9f4fada.png",24,31,211,243,
generated,"pilot-sheet-022","PILOT-8B20DCC32738","alphasquadronpilot","Alpha Squadron Pilot","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__26d4850cfab22457.jpg","assets/generated/PilotBaseToken/galacticempire/tieinterceptor/alphasquadronpilot__pilot-8b20dcc32738.png",26,34,450,506,
generated,"pilot-sheet-023","PILOT-919CB508CC2A","zeborrelios","""Zeb"" Orrelios","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__27a89001f714f298.jpg","assets/generated/PilotBaseToken/rebelalliance/attackshuttle/zeborrelios__pilot-919cb508cc2a.png",995,0,433,507,
generated,"pilot-sheet-024","PILOT-4E5B3C6C644F","cartelexecutioner","Cartel Executioner","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__283b62cba7623fcb.png","assets/generated/PilotBaseToken/scumandvillainy/m12lkimogilafighter/cartelexecutioner__pilot-4e5b3c6c644f.png",31,28,439,528,
generated,"pilot-sheet-025","PILOT-75FAB3AFE0AF","krassistrelix","Krassis Trelix","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__284cf739230c5520.jpg","assets/generated/PilotBaseToken/galacticempire/firespray31/krassistrelix__pilot-75fab3afe0af.png",41,37,927,1020,
generated,"pilot-sheet-026","PILOT-B1012D7A2DDA","bodhirook","Bodhi Rook","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__290cc31e747a82fa.png","assets/generated/PilotBaseToken/rebelalliance/uwing/bodhirook__pilot-b1012d7a2dda.png",815,1142,430,477,
generated,"pilot-sheet-027","PILOT-D1DA1E944AA9","cutlasssquadronpilot","Cutlass Squadron Pilot","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2a09386f0ae85856.jpg","assets/generated/PilotBaseToken/galacticempire/tiepunisher/cutlasssquadronpilot__pilot-d1da1e944aa9.png",24,73,452,506,
generated,"pilot-sheet-028","PILOT-6842AEDDCC32","laetinashera","Laetin A'shera","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2b628d8e1453f008.jpg","assets/generated/PilotBaseToken/scumandvillainy/m3ainterceptor/laetinashera__pilot-6842aeddcc32.png",27,35,451,510,
generated,"pilot-sheet-029","PILOT-0C207B0C74CF","maulermithel","""Mauler Mithel""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2c21c96d3d0f6df4.png","assets/generated/PilotBaseToken/galacticempire/tiefighter/maulermithel__pilot-0c207b0c74cf.png",32,42,456,510,
generated,"pilot-sheet-030","PILOT-2B9E8D56012F","puresabacc","""Pure Sabacc""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2ddee426d5cd4e0a.png","assets/generated/PilotBaseToken/galacticempire/tiestriker/puresabacc__pilot-2b9e8d56012f.png",11,16,226,254,
generated,"pilot-sheet-031","PILOT-D7E3AF0C1A39","contractedscout","Contracted Scout","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__313bf3911892eafb.jpg","assets/generated/PilotBaseToken/scumandvillainy/jumpmaster5000/contractedscout__pilot-d7e3af0c1a39.png",41,37,927,966,
generated,"pilot-sheet-032","PILOT-0EB1111C98FA","banditsquadronpilot","Bandit Squadron Pilot","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__31c8025202b87472.jpg","assets/generated/PilotBaseToken/rebelalliance/z95headhunter/banditsquadronpilot__pilot-0eb1111c98fa.png",24,33,450,504,
generated,"pilot-sheet-033","PILOT-41AAAC334224","sawgerrera","Saw Gerrera","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__38c73e26b7ef0f5c.png","assets/generated/PilotBaseToken/rebelalliance/uwing/sawgerrera__pilot-41aaac334224.png",815,1142,430,477,
generated,"pilot-sheet-034","PILOT-5274E11EAA41","leebo","""Leebo""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3948b5a8e50c3bd1.jpg","assets/generated/PilotBaseToken/rebelalliance/yt2400/leebo__pilot-5274e11eaa41.png",41,37,924,965,
generated,"pilot-sheet-035","PILOT-A2E41CCFAB5F","esegetuketu","Esege Tuketu","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__397623d826256999.jpg","assets/generated/PilotBaseToken/rebelalliance/kwing/esegetuketu__pilot-a2e41ccfab5f.png",24,34,449,506,
generated,"pilot-sheet-036","PILOT-33E821BC8D93","emonazzameen","Emon Azzameen","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3b663ec0ec08d3c1.jpg","assets/generated/PilotBaseToken/scumandvillainy/firespray31/emonazzameen__pilot-33e821bc8d93.png",41,37,927,1020,
generated,"pilot-sheet-037","PILOT-7C8D83A06980","kaatoleeachos","Kaa'to Leeachos","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3bf6a0f4e42179fc.jpg","assets/generated/PilotBaseToken/scumandvillainy/z95headhunter/kaatoleeachos__pilot-7c8d83a06980.png",24,33,450,504,
generated,"pilot-sheet-038","PILOT-69DC976B7248","benthictwotubes","Benthic Two Tubes","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3c511d937f9cfc39.png","assets/generated/PilotBaseToken/rebelalliance/uwing/benthictwotubes__pilot-69dc976b7248.png",815,1142,430,477,
generated,"pilot-sheet-039","PILOT-78154C684A5D","tomaxbren","Tomax Bren","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3ca5873ebdf5b343.png","assets/generated/PilotBaseToken/galacticempire/tiebomber/tomaxbren__pilot-78154c684a5d.png",24,73,452,506,
generated,"pilot-sheet-040","PILOT-7E5AEEBC41D6","kashyyykdefender","Kashyyyk Defender","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3d0e951020b2d514.png","assets/generated/PilotBaseToken/rebelalliance/auzituckgunship/kashyyykdefender__pilot-7e5aeebc41d6.png",14,672,283,325,
generated,"pilot-sheet-041","PILOT-2F800C27D775","talasquadronpilot","Tala Squadron Pilot","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__3f53e0f9d8299340.jpg","assets/generated/PilotBaseToken/rebelalliance/z95headhunter/talasquadronpilot__pilot-2f800c27d775.png",24,33,450,504,
generated,"pilot-sheet-042","PILOT-68D5625BBE63","oldteroch","Old Teroch","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__41d30b92b50898f3.png","assets/generated/PilotBaseToken/scumandvillainy/protectoratestarfighter/oldteroch__pilot-68d5625bbe63.png",30,31,212,244,
generated,"pilot-sheet-043","PILOT-6252CB094EFA","zeborrelios","""Zeb"" Orrelios","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4267f6573a9e0524.jpg","assets/generated/PilotBaseToken/rebelalliance/sheathipedeclassshuttle/zeborrelios__pilot-6252cb094efa.png",995,0,433,515,
generated,"pilot-sheet-044","PILOT-0175B6FFF67D","guri","Guri","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__43e91ad6b8c25e5a.jpg","assets/generated/PilotBaseToken/scumandvillainy/starviper/guri__pilot-0175b6fff67d.png",24,34,451,504,
generated,"pilot-sheet-045","PILOT-2E5D2CAD25B4","ig88d","IG-88D","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__44cc2e9f77a0f54f.jpg","assets/generated/PilotBaseToken/scumandvillainy/aggressor/ig88d__pilot-2e5d2cad25b4.png",41,37,927,966,
generated,"pilot-sheet-046","PILOT-39658D5B350B","solsixxa","Sol Sixxa","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__468416f146e1f06d.png","assets/generated/PilotBaseToken/scumandvillainy/scurrgh6bomber/solsixxa__pilot-39658d5b350b.png",18,38,288,317,
generated,"pilot-sheet-047","PILOT-7BE38960675C","countdown","""Countdown""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__47198294f94ca5ea.png","assets/generated/PilotBaseToken/galacticempire/tiestriker/countdown__pilot-7be38960675c.png",11,16,226,254,
generated,"pilot-sheet-048","PILOT-EAFFA73EDEAA","jekporkins","Jek Porkins","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__479ac4c40d60d726.png","assets/generated/PilotBaseToken/rebelalliance/xwing/jekporkins__pilot-eaffa73edeaa.png",524,37,450,508,
generated,"pilot-sheet-048","PILOT-AA47833EE888","lukeskywalker","Luke Skywalker","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__479ac4c40d60d726.png","assets/generated/PilotBaseToken/rebelalliance/xwing/lukeskywalker__pilot-aa47833ee888.png",1021,629,450,508,
generated,"pilot-sheet-048","PILOT-D860BA3F714B","wesjanson","Wes Janson","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__479ac4c40d60d726.png","assets/generated/PilotBaseToken/rebelalliance/xwing/wesjanson__pilot-d860ba3f714b.png",1021,37,450,508,
generated,"pilot-sheet-049","PILOT-1F99131CE3E0","tansariipointveteran","Tansarii Point Veteran","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4807b3729c8343a3.jpg","assets/generated/PilotBaseToken/scumandvillainy/m3ainterceptor/tansariipointveteran__pilot-1f99131ce3e0.png",27,35,451,510,
generated,"pilot-sheet-050","PILOT-697F037E14A6","deltasquadronpilot","Delta Squadron Pilot","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__48e6bba4f70cfabc.jpg","assets/generated/PilotBaseToken/galacticempire/tiedefender/deltasquadronpilot__pilot-697f037e14a6.png",25,35,448,504,
generated,"pilot-sheet-051","PILOT-0E181989C08C","mirandadoni","Miranda Doni","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4af57bb26524ed0b.jpg","assets/generated/PilotBaseToken/rebelalliance/kwing/mirandadoni__pilot-0e181989c08c.png",24,34,449,506,
generated,"pilot-sheet-052","PILOT-53F462B28696","viktorhel","Viktor Hel","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4c009f4e322d5c41.png","assets/generated/PilotBaseToken/scumandvillainy/kihraxzfighter/viktorhel__pilot-53f462b28696.png",20,31,455,512,
generated,"pilot-sheet-053","PILOT-31738DF69B79","darthvader","Darth Vader","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4fa26aa87794e2f9.jpg","assets/generated/PilotBaseToken/galacticempire/tieadvanced/darthvader__pilot-31738df69b79.png",21,30,458,511,
generated,"pilot-sheet-054","PILOT-2BF2DAE8F20E","captainjostero","Captain Jostero","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__530db44fdeb67130.png","assets/generated/PilotBaseToken/scumandvillainy/kihraxzfighter/captainjostero__pilot-2bf2dae8f20e.png",20,31,455,512,
generated,"pilot-sheet-055","PILOT-3C24070F17DF","junoeclipse","Juno Eclipse","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__56b3528f863cf077.jpg","assets/generated/PilotBaseToken/galacticempire/tieadvanced/junoeclipse__pilot-3c24070f17df.png",1019,30,458,511,
generated,"pilot-sheet-056","PILOT-3ACC0B4A3795","4lom","4-LOM","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__588199dc62ebbe1e.jpg","assets/generated/PilotBaseToken/scumandvillainy/g1astarfighter/4lom__pilot-3acc0b4a3795.png",25,32,451,508,
generated,"pilot-sheet-057","PILOT-92CC97D0C2A9","unkarplutt","Unkar Plutt","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5cae101d5041fcf3.png","assets/generated/PilotBaseToken/scumandvillainy/quadjumper/unkarplutt__pilot-92cc97d0c2a9.png",24,31,211,243,
generated,"pilot-sheet-058","PILOT-9AF4734CA538","kyloren","Kylo Ren","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5da59378b7d9f2a3.png","assets/generated/PilotBaseToken/firstorder/tiesilencer/kyloren__pilot-9af4734ca538.png",33,34,434,521,
generated,"pilot-sheet-059","PILOT-371A0F61CCFE","chopper","""Chopper""","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5ecaf2bd7f8d7b76.jpg","assets/generated/PilotBaseToken/rebelalliance/vcx100/chopper__pilot-371a0f61ccfe.png",6,0,943,1032,
generated,"pilot-sheet-059","PILOT-5158A0D06CE9","sabinewren","Sabine Wren","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5ecaf2bd7f8d7b76.jpg","assets/generated/PilotBaseToken/rebelalliance/attackshuttle/sabinewren__pilot-5158a0d06ce9.png",995,0,433,507,
