status,pilotId,targetId,displayName,faction,ship,sourceRepositoryPath,outputRepositoryPath,x,y,width,height,message
recovered,"rebelalliance::uwing::bluesquadronpathfinder","bluesquadronpathfinder","Blue Squadron Pathfinder","Rebel Alliance","U-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__a1a7f59f6416dd22.png","assets/generated/PilotBaseToken/rebel-alliance/u-wing/bluesquadronpathfinder__pilot-aed84ccabd06.png",817,1142,430,475,
recovered,"galacticempire::tieaggressor::onyxsquadronescort","onyxsquadronescort","Onyx Squadron Escort","Galactic Empire","TIE Aggressor","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__921fbbc8e48665e2.png","assets/generated/PilotBaseToken/galactic-empire/tie-aggressor/onyxsquadronescort__pilot-11ec1b262bd8.png",15,16,251,284,
recovered,"galacticempire::tiepunisher::blackeightsqpilot","blackeightsqpilot","Black Eight Squadron Pilot","Galactic Empire","TIE Punisher","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__087c5068aeefcd44.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-punisher/blackeightsqpilot__pilot-93bea03f4cbe.png",26,73,449,506,
recovered,"galacticempire::tiebomber::gammasquadronveteran","gammasquadronveteran","Gamma Squadron Veteran","Galactic Empire","TIE Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__0ea862bb5cb65f7c.png","assets/generated/PilotBaseToken/galactic-empire/tie-bomber/gammasquadronveteran__pilot-c1b278be03e2.png",25,73,449,505,
recovered,"galacticempire::tiebomber::gammasquadronpilot","gammasquadronpilot","Gamma Squadron Pilot","Galactic Empire","TIE Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1b736b8e3858a393.jpg","assets/generated/PilotBaseToken/galactic-empire/tie-bomber/gammasquadronpilot__pilot-b8141f8d7b11.png",25,73,449,505,
recovered,"firstorder::tiesilencer::sienarjaemusanalyst","sienarjaemusanalyst","Sienar-Jaemus Analyst","First Order","TIE Silencer","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__fbd02e039fd20ba4.png","assets/generated/PilotBaseToken/first-order/tie-silencer/sienarjaemusanalyst__pilot-730027847efe.png",34,35,433,520,
recovered,"firstorder::tiesilencer::testpilotblackout","testpilotblackout","Test Pilot ""Blackout""","First Order","TIE Silencer","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__2749315e7bd4122b.png","assets/generated/PilotBaseToken/first-order/tie-silencer/testpilotblackout__pilot-43533a4d2203.png",34,35,433,520,
recovered,"firstorder::tiefofighter::epsilonace","epsilonace","""Epsilon Ace""","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6021444333fb6b54.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/epsilonace__pilot-fd288ae4c7d0.png",7,10,431,495,
recovered,"firstorder::tiefofighter::epsilonleader","epsilonleader","""Epsilon Leader""","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__e7274eec890b971d.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/epsilonleader__pilot-d905ccfeb611.png",7,10,431,495,
recovered,"firstorder::tiefofighter::omegaace","omegaace","""Omega Ace""","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__a94bfda697939780.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/omegaace__pilot-6981ba3839af.png",7,10,431,495,
recovered,"firstorder::tiefofighter::omegaleader","omegaleader","""Omega Leader""","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__929cb78c320fe62d.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/omegaleader__pilot-eece3bbbb784.png",7,10,431,495,
recovered,"firstorder::tiefofighter::zetaace","zetaace","""Zeta Ace""","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8779e716f671e0a4.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/zetaace__pilot-641484ae5c95.png",7,10,431,495,
recovered,"firstorder::tiefofighter::zetaleader","zetaleader","""Zeta Leader""","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5f0b5b7e23af2712.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/zetaleader__pilot-d5006b65d981.png",7,10,431,495,
recovered,"firstorder::tiefofighter::epsilonsquadronpilot","epsilonsquadronpilot","Epsilon Squadron Pilot","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6432aa2954081d75.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/epsilonsquadronpilot__pilot-79a2c367a956.png",7,10,431,495,
recovered,"firstorder::tiefofighter::omegasquadronpilot","omegasquadronpilot","Omega Squadron Pilot","First Order","TIE/fo Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__93f771ebe9655b77.png","assets/generated/PilotBaseToken/first-order/tie-fo-fighter/omegasquadronpilot__pilot-e22e0f82c2a8.png",7,10,431,495,
recovered,"firstorder::tiesffighter::omegaspecialist","omegaspecialist","Omega Specialist","First Order","TIE/sf Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__7d15742b170136f9.png","assets/generated/PilotBaseToken/first-order/tie-sf-fighter/omegaspecialist__pilot-2724127d2e7c.png",7,10,431,506,
recovered,"firstorder::tiesffighter::zetaspecialist","zetaspecialist","Zeta Specialist","First Order","TIE/sf Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f04a15569b7ae6cf.png","assets/generated/PilotBaseToken/first-order/tie-sf-fighter/zetaspecialist__pilot-a5c5858434ee.png",7,10,431,506,
recovered,"firstorder::upsilonclassshuttle::kyloren","kyloren","Kylo Ren","First Order","Upsilon-class Shuttle","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__fbbff8877613c16a.jpg","assets/generated/PilotBaseToken/first-order/upsilon-class-shuttle/kyloren__pilot-d10c643b9d5f.png",30,25,955,1011,
recovered,"galacticempire::alphaclassstarwing::rhosquadronveteran","rhosquadronveteran","Rho Squadron Veteran","Galactic Empire","Alpha-class Star Wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__17eb51f2a51e4404.jpg","assets/generated/PilotBaseToken/galactic-empire/alpha-class-star-wing/rhosquadronveteran__pilot-dfb086f68e10.png",25,33,448,505,
recovered,"galacticempire::firespray31::bobafett","bobafett","Boba Fett","Galactic Empire","Firespray-31","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__b3bee5dd3a2f9ce2.jpg","assets/generated/PilotBaseToken/galactic-empire/firespray-31/bobafett__pilot-ad1363e77593.png",47,44,913,1008,
recovered,"galacticempire::firespray31::kathscarlet","kathscarlet","Kath Scarlet","Galactic Empire","Firespray-31","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__c5ee6bb1a35a39b5.jpg","assets/generated/PilotBaseToken/galactic-empire/firespray-31/kathscarlet__pilot-00da478ba942.png",47,44,913,1008,
recovered,"galacticempire::lambdaclassshuttle::captainyorr","captainyorr","Captain Yorr","Galactic Empire","Lambda-class Shuttle","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__62c8264aa5d9ebd7.jpg","assets/generated/PilotBaseToken/galactic-empire/lambda-class-shuttle/captainyorr__pilot-43e9bd60c76a.png",47,44,913,1008,
recovered,"galacticempire::vt49decimator::commanderkenkirk","commanderkenkirk","Commander Kenkirk","Galactic Empire","VT-49 Decimator","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__f7aa5ccad91d322f.jpg","assets/generated/PilotBaseToken/galactic-empire/vt-49-decimator/commanderkenkirk__pilot-a2eb04a922ed.png",47,44,913,1003,
recovered,"rebelalliance::yt2400::eadenvrill","eadenvrill","Eaden Vrill","Rebel Alliance","YT-2400","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d540095bcc8c7add.jpg","assets/generated/PilotBaseToken/rebel-alliance/yt-2400/eadenvrill__pilot-e27fb236c4f3.png",47,44,913,1003,
recovered,"resistance::bsf17bomber::cobaltleader","cobaltleader","""Cobalt Leader""","Resistance","B/SF-17 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__05bd03057431458d.png","assets/generated/PilotBaseToken/resistance/b-sf-17-bomber/cobaltleader__pilot-c7808aa70880.png",41,44,923,1008,
recovered,"scumandvillainy::firespray31::mandalorianmercenary","mandalorianmercenary","Mandalorian Mercenary","Scum and Villainy","Firespray-31","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__82dc8e3d13f00177.jpg","assets/generated/PilotBaseToken/scum-and-villainy/firespray-31/mandalorianmercenary__pilot-68f3ca6c10e9.png",47,44,913,1008,
recovered,"resistance::bsf17bomber::crimsonleader","crimsonleader","""Crimson Leader""","Resistance","B/SF-17 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__cb7a778a35f1ab74.png","assets/generated/PilotBaseToken/resistance/b-sf-17-bomber/crimsonleader__pilot-3da13f089413.png",41,44,923,1008,
recovered,"resistance::bsf17bomber::crimsonspecialist","crimsonspecialist","""Crimson Specialist""","Resistance","B/SF-17 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__10b74ebdc73a4cd2.png","assets/generated/PilotBaseToken/resistance/b-sf-17-bomber/crimsonspecialist__pilot-10b061cebaf0.png",41,44,923,1008,
recovered,"resistance::bsf17bomber::crimsonsquadronpilot","crimsonsquadronpilot","Crimson Squadron Pilot","Resistance","B/SF-17 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__522d74291f3e2e14.png","assets/generated/PilotBaseToken/resistance/b-sf-17-bomber/crimsonsquadronpilot__pilot-4c96b892b2d4.png",41,44,923,1008,
recovered,"rebelalliance::xwing::rookiepilot","rookiepilot","Rookie Pilot","Rebel Alliance","X-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__479ac4c40d60d726.png","assets/generated/PilotBaseToken/rebel-alliance/x-wing/rookiepilot__pilot-0cc0aca52946.png",1025,1214,447,513,
recovered,"rebelalliance::xwing::redsquadronpilot","redsquadronpilot","Red Squadron Pilot","Rebel Alliance","X-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__de7f7833467986a1.jpg","assets/generated/PilotBaseToken/rebel-alliance/x-wing/redsquadronpilot__pilot-5dc6032b4a48.png",1025,37,448,509,
recovered,"rebelalliance::xwing::tarnmison","tarnmison","Tarn Mison","Rebel Alliance","X-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__de7f7833467986a1.jpg","assets/generated/PilotBaseToken/rebel-alliance/x-wing/tarnmison__pilot-8eff5cdf6b4c.png",1524,37,448,509,
recovered,"rebelalliance::xwing::hobbieklivian","hobbieklivian","""Hobbie"" Klivian","Rebel Alliance","X-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__de7f7833467986a1.jpg","assets/generated/PilotBaseToken/rebel-alliance/x-wing/hobbieklivian__pilot-650063d67e72.png",1025,1215,448,509,
recovered,"rebelalliance::auzituckgunship::wookieeliberator","wookieeliberator","Wookiee Liberator","Rebel Alliance","Auzituck Gunship","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__22d1b41d46784268.png","assets/generated/PilotBaseToken/rebel-alliance/auzituck-gunship/wookieeliberator__pilot-8e4fdca88e8e.png",17,678,278,329,
recovered,"rebelalliance::arc170::braylenstramm","braylenstramm","Braylen Stramm","Rebel Alliance","ARC-170","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__d47c3d7b1df4bb8b.jpg","assets/generated/PilotBaseToken/rebel-alliance/arc-170/braylenstramm__pilot-559672c5acf1.png",26,34,445,516,
recovered,"rebelalliance::arc170::thanekyrell","thanekyrell","Thane Kyrell","Rebel Alliance","ARC-170","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__8607a2723e631383.jpg","assets/generated/PilotBaseToken/rebel-alliance/arc-170/thanekyrell__pilot-f24f4c0fdc1d.png",26,34,445,516,
recovered,"scumandvillainy::z95headhunter::nashtahpuppilot","nashtahpuppilot","Nashtah Pup Pilot","Scum and Villainy","Z-95 Headhunter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__1ecc570f5ef1037c.png","assets/generated/PilotBaseToken/scum-and-villainy/z-95-headhunter/nashtahpuppilot__pilot-72f1ca9d274c.png",25,34,448,521,
recovered,"scumandvillainy::ywing::syndicatethug","syndicatethug","Syndicate Thug","Scum and Villainy","Y-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__374735e7754c1aca.jpg","assets/generated/PilotBaseToken/scum-and-villainy/y-wing/syndicatethug__pilot-af51e58b9ce6.png",25,34,448,521,
recovered,"rebelalliance::ywing::goldsquadronpilot","goldsquadronpilot","Gold Squadron Pilot","Rebel Alliance","Y-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6a7b8d7726325ec7.jpg","assets/generated/PilotBaseToken/rebel-alliance/y-wing/goldsquadronpilot__pilot-e24f1d2a662a.png",25,34,448,521,
recovered,"rebelalliance::ywing::graysquadronpilot","graysquadronpilot","Gray Squadron Pilot","Rebel Alliance","Y-wing","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__6a7b8d7726325ec7.jpg","assets/generated/PilotBaseToken/rebel-alliance/y-wing/graysquadronpilot__pilot-527388f60fb4.png",25,624,448,521,
recovered,"scumandvillainy::starviper::thweek","thweek","Thweek","Scum and Villainy","StarViper","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__dbc816c1aa07a8d7.png","assets/generated/PilotBaseToken/scum-and-villainy/starviper/thweek__pilot-c91ee69af970.png",26,35,446,523,
recovered,"scumandvillainy::starviper::blacksunvigo","blacksunvigo","Black Sun Vigo","Scum and Villainy","StarViper","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__510261e24ba08017.png","assets/generated/PilotBaseToken/scum-and-villainy/starviper/blacksunvigo__pilot-6163bfc10154.png",26,35,446,525,
recovered,"scumandvillainy::scurrgh6bomber::karthakkpirate","karthakkpirate","Karthakk Pirate","Scum and Villainy","Scurrg H-6 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__e99d2d77daa8bb04.png","assets/generated/PilotBaseToken/scum-and-villainy/scurrg-h-6-bomber/karthakkpirate__pilot-fa5e5d36dbca.png",10,38,295,329,
recovered,"rebelalliance::scurrgh6bomber::captainnym","captainnym","Captain Nym","Rebel Alliance","Scurrg H-6 Bomber","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__3bf704ca6e757c26.png","assets/generated/PilotBaseToken/rebel-alliance/scurrg-h-6-bomber/captainnym__pilot-443467780783.png",27,38,278,329,
recovered,"scumandvillainy::protectoratestarfighter::concorddawnveteran","concorddawnveteran","Concord Dawn Veteran","Scum and Villainy","Protectorate Starfighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__cb8fd85fa1a79724.png","assets/generated/PilotBaseToken/scum-and-villainy/protectorate-starfighter/concorddawnveteran__pilot-f98f18cc6d4d.png",32,35,208,248,
recovered,"scumandvillainy::protectoratestarfighter::concorddawnace","concorddawnace","Concord Dawn Ace","Scum and Villainy","Protectorate Starfighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/other/asset__7a75c3dedef70084.png","assets/generated/PilotBaseToken/scum-and-villainy/protectorate-starfighter/concorddawnace__pilot-f20e3c22e49d.png",32,35,208,248,
recovered,"scumandvillainy::m12lkimogilafighter::cartelbrute","cartelbrute","Cartel Brute","Scum and Villainy","M12-L Kimogila Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__43b97025f8481d09.png","assets/generated/PilotBaseToken/scum-and-villainy/m12-l-kimogila-fighter/cartelbrute__pilot-8e3388a632f5.png",31,32,438,521,
recovered,"scumandvillainy::kihraxzfighter::grazthehunter","grazthehunter","Graz the Hunter","Scum and Villainy","Kihraxz Fighter","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__50263a79cb43a37a.png","assets/generated/PilotBaseToken/scum-and-villainy/kihraxz-fighter/grazthehunter__pilot-ab208b707e08.png",49,63,401,473,
